short,impressions,clicks,ctr_pct
/,529,9,1.7
/polish-translation/,203,0,0.0
/ukrainian-translator-dublin/,113,2,1.77
/irish-translation/,102,0,0.0
/medical-translation/,95,0,0.0
/interpreting/,85,3,3.53
/spanish-translator-london/,76,0,0.0
/polish-translator-dublin/,64,1,1.56
/certified-translation/,61,0,0.0
/ukrainian-translation/,50,0,0.0
/business-interpreting/,49,0,0.0
/european-languages/,42,0,0.0
/legal-translation/,40,0,0.0
/contact/,35,0,0.0
/phone-interpreting/,35,0,0.0
/medical-interpreting/,33,0,0.0
/parent-teacher-meetings/,32,0,0.0
/about/,27,0,0.0
/inis-translation-guide/,18,0,0.0
/apostille-service/,18,0,0.0
/recruitment/,14,1,7.14
/polish-to-english-certified-translation/,9,0,0.0
/document-translation/,9,0,0.0
/court-interpreting/,7,0,0.0
/court-interpreting,7,0,0.0
