query,clicks,impressions,avg_pos,ctr_pct
tatkowski,7,157,3.5,4.46
translation recruitment company,0,20,9.5,0.0
medical translator,0,19,9.2,0.0
court translator,1,9,7.6,11.11
ukrainian interpreter,0,7,5.2,0.0
medical interpreter,0,7,7.5,0.0
translation companies ireland,0,6,1.3,0.0
translation agencies,0,5,9.4,0.0
ukrainian translator near me,0,5,5.0,0.0
certified translation services,0,5,5.4,0.0
certified translation ukrainian to english,0,4,7.2,0.0
phone interpreter services,0,4,4.0,0.0
interpreting services ireland,1,3,1.5,33.33
medical interpreting,0,3,9.0,0.0
translate documents,0,3,8.5,0.0
